codigo_ibge,grupo_dcnt,internacoes,obitos_hospitalares
4206405,Respiratória crônica,273.0,15.0
4206504,Respiratória crônica,136.0,10.0
4206603,Respiratória crônica,176.0,6.0
4206900,Respiratória crônica,133.0,13.0
4207007,Respiratória crônica,430.0,35.0
4207205,Respiratória crônica,37.0,2.0
4207304,Respiratória crônica,218.0,11.0
4207403,Respiratória crônica,2.0,0.0
4207502,Respiratória crônica,68.0,4.0
4207601,Respiratória crônica,52.0,3.0
4207650,Respiratória crônica,133.0,5.0
4207700,Respiratória crônica,54.0,0.0
4207809,Respiratória crônica,24.0,0.0
4207908,Respiratória crônica,159.0,6.0
4208005,Respiratória crônica,77.0,5.0
4208104,Respiratória crônica,108.0,6.0
4208203,Respiratória crônica,747.0,108.0
4208302,Respiratória crônica,36.0,2.0
4208401,Respiratória crônica,199.0,12.0
4208500,Respiratória crônica,180.0,23.0
4208708,Respiratória crônica,110.0,3.0
4208807,Respiratória crônica,237.0,11.0
4208906,Respiratória crônica,818.0,73.0
4209003,Respiratória crônica,334.0,35.0
4209102,Respiratória crônica,2211.0,107.0
4209300,Respiratória crônica,1369.0,90.0
4209409,Respiratória crônica,187.0,14.0
4209607,Respiratória crônica,87.0,6.0
4209706,Respiratória crônica,195.0,4.0
4209854,Respiratória crônica,44.0,10.0
4210001,Respiratória crônica,43.0,2.0
4210035,Respiratória crônica,211.0,21.0
4210100,Respiratória crônica,110.0,10.0
4210308,Respiratória crônica,212.0,2.0
4210506,Respiratória crônica,205.0,27.0
4210605,Respiratória crônica,15.0,0.0
4210803,Respiratória crônica,142.0,1.0
4210902,Respiratória crônica,184.0,9.0
4211009,Respiratória crônica,182.0,7.0
4211108,Respiratória crônica,19.0,1.0
4211207,Respiratória crônica,2205.0,46.0
4211306,Respiratória crônica,24.0,0.0
4211405,Respiratória crônica,58.0,10.0
4211504,Respiratória crônica,34.0,8.0
4211603,Respiratória crônica,114.0,8.0
4211702,Respiratória crônica,274.0,13.0
4211751,Respiratória crônica,288.0,16.0
4212007,Respiratória crônica,656.0,8.0
4212106,Respiratória crônica,777.0,50.0
4212205,Respiratória crônica,174.0,14.0
4212601,Respiratória crônica,10.0,0.0
4212700,Respiratória crônica,37.0,0.0
4212908,Respiratória crônica,68.0,3.0
4213203,Respiratória crônica,95.0,4.0
4213302,Respiratória crônica,2.0,0.0
4213401,Respiratória crônica,677.0,5.0
4213609,Respiratória crônica,264.0,17.0
4213708,Respiratória crônica,174.0,17.0
4213807,Respiratória crônica,235.0,13.0
4214003,Respiratória crônica,110.0,17.0
4214201,Respiratória crônica,303.0,13.0
4214508,Respiratória crônica,153.0,15.0
4214706,Respiratória crônica,47.0,6.0
4214805,Respiratória crônica,401.0,37.0
4214904,Respiratória crônica,104.0,6.0
4215000,Respiratória crônica,297.0,52.0
4215307,Respiratória crônica,83.0,2.0
4215406,Respiratória crônica,92.0,3.0
4215505,Respiratória crônica,157.0,9.0
4215703,Respiratória crônica,53.0,5.0
4215802,Respiratória crônica,334.0,31.0
4215901,Respiratória crônica,93.0,10.0
4216008,Respiratória crônica,275.0,17.0
4216206,Respiratória crônica,126.0,10.0
4216255,Respiratória crônica,44.0,2.0
4216305,Respiratória crônica,70.0,13.0
4216503,Respiratória crônica,337.0,10.0
4216602,Respiratória crônica,618.0,114.0
4216701,Respiratória crônica,182.0,8.0
4216909,Respiratória crônica,261.0,7.0
4217105,Respiratória crônica,61.0,1.0
4217204,Respiratória crônica,790.0,111.0
4217253,Respiratória crônica,54.0,1.0
4217303,Respiratória crônica,182.0,10.0
4217501,Respiratória crônica,103.0,8.0
4217709,Respiratória crônica,119.0,13.0
4217808,Respiratória crônica,146.0,7.0
4217907,Respiratória crônica,3.0,1.0
4218004,Respiratória crônica,26.0,1.0
4218103,Respiratória crônica,108.0,4.0
4218202,Respiratória crônica,187.0,17.0
4218301,Respiratória crônica,25.0,4.0
4218400,Respiratória crônica,453.0,0.0
4218608,Respiratória crônica,83.0,7.0
4218707,Respiratória crônica,657.0,53.0
4218756,Respiratória crônica,151.0,5.0
4218806,Respiratória crônica,128.0,4.0
4218905,Respiratória crônica,66.0,8.0
4219002,Respiratória crônica,136.0,17.0
4219101,Respiratória crônica,77.0,0.0
4219200,Respiratória crônica,12.0,1.0
4219309,Respiratória crônica,332.0,28.0
4219358,Respiratória crônica,73.0,3.0
4219408,Respiratória crônica,2.0,1.0
4219507,Respiratória crônica,187.0,30.0
4219606,Respiratória crônica,64.0,1.0
4219705,Respiratória crônica,239.0,23.0
